Bin,Bin name,Base (Ma),Midpoint (Ma),Collections sampled,Mean sampled diversity,3T origination rate,3T extinction rate
86,Gelasian,2.6,1.3,4.6,20.1,NA,NA
85,Piacenzian,3.6,3.1,6.3,29.1,-0.216,0.353
84,Zanclean,5.3,4.5,25.0,83.4,0.491,0.526
83,Messinian,7.2,6.3,12.3,39.9,0.229,0.039
82,Tortonian,11.6,9.4,9.8,35.4,0.861,0.286
81,Serravallian,13.7,12.6,8.1,28.1,1.495,1.194
80,Langhian,16.0,14.8,12.1,44.3,0.656,1.345
79,Burdigalian,20.4,18.2,19.9,53.9,2.154,1.893
78,Aquitanian,23.0,21.7,10.1,32.4,0.993,1.001
77,Chattian,28.4,25.7,14.9,46.3,2.456,1.761
76,Rupelian,33.9,31.1,7.9,16.5,0.827,0.961
75,Priabonian,37.2,35.5,6.8,21.2,0.845,0.746
74,Bartonian,40.4,38.8,12.0,36.7,1.637,2.254
73,Lutetian,48.6,44.5,9.0,29.6,3.482,1.362
72,Ypresian,55.8,52.2,4.0,14.9,1.901,2.583
71,Thanetian,58.7,57.2,2.5,8.3,0.658,0.728
70,Selandian,61.7,60.2,3.8,22.8,1.891,2.788
69,Danian,65.5,63.6,8.2,29.2,2.931,0.520
68,Maastrichtian,70.6,68.0,2.6,6.0,-0.006,1.455
67,Campanian,83.5,77.0,2.6,6.6,NA,NA
66,Santonian,85.8,84.7,0.0,NA,NA,NA
65,Coniacian,89.3,87.5,0.0,NA,NA,NA
64,Turonian,93.5,91.4,0.4,1.4,NA,NA
63,Cenomanian,99.6,96.5,1.5,6.4,0.131,0.985
62,Albian,112.0,105.8,2.4,3.5,NA,NA
61,Aptian,125.5,118.7,0.0,NA,NA,NA
56,Tithonian,150.8,148.2,0.0,NA,NA,NA
55,Kimmeridgian,155.7,153.2,0.0,NA,NA,NA
46,Hettangian,201.6,199.1,0.0,NA,NA,NA
45,Rhaetian,205.6,203.6,0.0,NA,NA,NA
